instance,algorithm,preset,seed,gd_fixed,igd_fixed,hv_fixed,spread_proxy
A-n36-k5,NSGA2,balanced,1003,51.49128513123924,71.99328429988243,16020.2603977662,36.989630226865735
A-n36-k5,NSGA2,balanced,1004,63.69458225164389,71.51463108585199,14517.958660423756,42.40652193154977
A-n36-k5,NSGA2,balanced,1005,55.90160285081317,139.56035411018996,23230.885299005797,14.174096239301548
A-n36-k5,NSGA2,balanced,1006,75.00357384262229,171.8626194302045,25771.91951669215,9.497476922334432
A-n36-k5,NSGA2,balanced,1007,74.32304603804029,230.78985723449736,29275.30849083867,10.719487005569784
A-n36-k5,NSGA2,balanced,1008,56.707170284464276,128.3689921593104,22220.75350007598,16.736788859222866
A-n36-k5,NSGA2,balanced,1009,86.3331629126024,105.44330880733587,19908.51801502684,22.995495552293743
A-n36-k5,NSGA2,balanced,1010,69.14315135882974,168.069854479323,25299.014878035556,12.760155839026655
A-n36-k5,NSGA2,balanced,1011,65.23422696113181,205.55985525026838,27847.67240837065,4.84246524797489
A-n36-k5,NSGA2,balanced,1012,54.20199727136095,66.70667252132716,15850.15020577441,18.87853898233271
A-n36-k5,NSGA2,balanced,1013,69.92723971642275,91.69458345474236,18644.079446094096,20.38219446017309
A-n36-k5,NSGA2,balanced,1014,81.95622277670601,174.6842245090298,26062.0709829677,7.962638609374973
A-n36-k5,NSGA2,balanced,1015,73.81965904245347,116.96551843028783,21333.354344380215,13.96049619498994
A-n36-k5,NSGA2,balanced,1016,87.12727307440124,155.2693553381378,23909.642805887273,11.131283283722734
A-n36-k5,NSGA2,balanced,1017,72.64312930525597,67.5251596488158,15987.745635401678,24.109441181501854
A-n36-k5,NSGA2,balanced,1018,68.42358669705202,84.8947784176737,17014.540517061847,38.23049155674815
A-n36-k5,NSGA2,balanced,1019,78.35060361862323,116.77008674856921,20562.81388878747,27.63951492328884
A-n36-k5,VEGA,balanced,1003,21.117196731171767,121.05624114080484,16883.678761461586,3.054698128226498
A-n36-k5,VEGA,balanced,1004,18.101908418807966,77.61322959549581,11056.32152261298,39.33603467874088
A-n36-k5,VEGA,balanced,1005,11.255708802825705,75.7928519060733,11610.884957438886,15.07905627430865
A-n36-k5,VEGA,balanced,1006,16.24033901337375,78.74059666269399,11136.193650048304,9.798024321360499
A-n36-k5,VEGA,balanced,1008,20.322861753082236,52.467973080379835,10058.018573087062,20.32052923024915
A-n36-k5,VEGA,balanced,1009,0.6618015468698225,52.002340789016884,6089.144820121827,15.692240410811225
A-n36-k5,VEGA,balanced,1011,29.03080527047922,74.52566746403114,12989.499976652804,11.317107608055014
A-n36-k5,VEGA,balanced,1012,16.21165087421775,36.843334903474506,5597.260034164585,31.345010833410033
