instance,algorithm,preset,seed,gd_fixed,igd_fixed,hv_fixed,spread_proxy
A-n36-k5,NSGA2,fast,1005,95.30708224300227,144.3703704288011,58770.259160055706,11.23807703194713
A-n36-k5,NSGA2,fast,1006,190.60321636051646,107.13047646201731,41466.0163034363,21.616622523238156
A-n36-k5,NSGA2,fast,1007,95.30196200015517,156.4535971683973,61492.24547624955,10.785068347961529
A-n36-k5,NSGA2,fast,1008,124.21832162046563,168.7418185946338,62511.381491556844,21.39407341104273
A-n36-k5,NSGA2,fast,1009,167.47283731175236,221.00978183108535,69139.29172819016,6.384898663761656
A-n36-k5,NSGA2,fast,1010,85.91418155106655,100.52697969671426,43748.60563313881,26.067258332576007
A-n36-k5,NSGA2,fast,1011,170.204472440612,170.1280845804762,63277.17677224419,11.530803017009891
A-n36-k5,NSGA2,fast,1012,108.2929069605068,146.60292467927417,59387.27250233702,12.04865690414881
A-n36-k5,NSGA2,fast,1013,100.60642434865733,134.2397518435661,36193.726317095745,32.26143080913529
A-n36-k5,NSGA2,fast,1014,80.30731845535774,128.5275952991032,40413.26208766263,30.51497208517405
A-n36-k5,NSGA2,fast,1015,153.7566832295774,110.2820794603179,49501.69308058809,21.233991695630205
A-n36-k5,NSGA2,fast,1016,60.33101162864905,118.21423704953082,53565.0535503477,23.265041905266138
A-n36-k5,NSGA2,fast,1017,80.70810728883566,159.84494811427206,61489.695745097626,11.410387960878557
A-n36-k5,NSGA2,fast,1018,163.71218190829356,109.81994795872457,45559.2063381726,17.800301255285
A-n36-k5,NSGA2,fast,1019,163.8280471924546,232.04256209547407,70664.31098119641,6.90402696771716
A-n36-k5,VEGA,fast,1000,31.5084107453625,71.35048247006888,8543.482190881487,194.26426771251266
A-n36-k5,VEGA,fast,1001,24.99936886596088,87.214450472534,43415.09834406281,13.02409239070688
A-n36-k5,VEGA,fast,1002,45.07993246208429,79.13727071591627,36442.79592861871,17.245084949826673
A-n36-k5,VEGA,fast,1003,18.952130278417346,55.94167419420217,30149.802336603538,26.243198217936232
A-n36-k5,VEGA,fast,1004,99.06584965228863,116.17624514407476,23208.550214200703,0.0
A-n36-k5,VEGA,fast,1005,91.60638028403447,196.83491029013396,56133.97963308868,17.383057411682916
A-n36-k5,VEGA,fast,1006,36.85202034873764,78.62913122330713,31536.069121295783,25.537812954601687
A-n36-k5,VEGA,fast,1007,63.43235280190638,96.56256962935872,43328.67119736019,20.513959962995568
A-n36-k5,VEGA,fast,1008,39.232688819059966,103.80027752824219,43704.24972105749,22.25634780331493
A-n36-k5,VEGA,fast,1009,50.1967673349602,129.8458342111712,54835.86407709911,0.0
A-n36-k5,VEGA,fast,1010,15.09122551826319,80.23117881835499,39652.786001166896,29.50247703249311
A-n36-k5,VEGA,fast,1011,37.735367947617995,88.22440530937833,32898.22126463581,61.14467397950871
A-n36-k5,VEGA,fast,1012,23.863543915327607,80.8300415838335,39375.34821736012,46.669881318511656
A-n36-k5,VEGA,fast,1013,22.96021578417401,13.929210262981906,7970.21699340254,85.38836477209088
A-n36-k5,VEGA,fast,1014,30.809924227691937,61.00221295473768,28807.848722124076,37.76166818985061
A-n36-k5,VEGA,fast,1015,9.709332671837322,108.46561181862603,48019.88111933469,8.741963988294069
A-n36-k5,VEGA,fast,1016,7.070612865910786,53.13601064885241,29914.022411710008,42.775880130550924
A-n36-k5,VEGA,fast,1017,43.36566501613433,127.78948496642028,52836.55831793765,24.61632497728267
A-n36-k5,VEGA,fast,1018,85.49488480338766,110.54056074274882,39897.200095112545,44.12477499257299
A-n36-k5,VEGA,fast,1019,44.808601590890405,103.46743584328424,43379.45038701048,0.0
B-n45-k6,NSGA2,fast,1000,1414212850.3377082,1414212840.4767165,1.1024989280383121e+18,39.66073751671344
B-n45-k6,NSGA2,fast,1001,1414212573.0984898,1414212458.3300636,1.1024983605791322e+18,30.119303055344933
B-n45-k6,NSGA2,fast,1002,1414212828.0972412,1414212796.3406453,1.1024988624995493e+18,3.948759119654709
B-n45-k6,NSGA2,fast,1003,1414212594.4150074,1414212508.084723,1.1024984344610892e+18,40.358100451584036
